"","Open","High","Low","Close","Volume"
"2016-10-07",20.29,20.49,20.29,20.45,8645
"2016-10-11",20.92,21.07,20.92,21.05,4933
"2016-10-12",20.72,20.78,20.64,20.77,2112
"2016-10-13",19.92,19.92,19.72,19.84,4352
"2016-10-14",20.29,20.59,20.29,20.53,4091
"2016-10-17",20.15,20.22,20.07,20.2,1572
"2016-10-18",20.19,20.21,20.12,20.18,1474
"2016-10-19",20.49,20.61,20.42,20.49,1912
"2016-10-20",20.98,21.01,20.86,20.87,3275
"2016-10-21",20.16,20.17,19.97,19.98,11195
"2016-10-24",20.13,20.2,20.01,20.16,2578
"2016-10-25",20.05,20.1,20,20.1,2730
"2016-10-26",19.2,19.21,19.1,19.11,10826
"2016-10-27",19.03,19.14,18.96,19.12,3111
"2016-10-28",19.39,19.5,19.38,19.46,4296
"2016-10-31",18.44,18.54,18.41,18.52,6806
"2016-11-01",17.23,17.39,17.22,17.39,13055
"2016-11-02",16.95,16.97,16.78,16.84,12755
"2016-11-03",16.43,16.52,16.39,16.45,12863
"2016-11-04",15.77,15.81,15.71,15.74,14523
"2016-11-07",15.52,15.7,15.48,15.67,17570
"2016-11-08",15.8,15.87,15.74,15.87,15843
"2016-11-09",15.93,16.03,14.7,14.98,35525
"2016-11-10",15.81,16.06,15.81,16.06,19378
"2016-11-11",15.58,15.66,15.52,15.66,9274
"2016-11-14",15.05,15.05,14.82,14.86,23464
"2016-11-15",15.02,15.36,14.96,15.31,11174
"2016-11-16",16.2,16.44,16.09,16.42,24189
"2016-11-17",16.04,16.18,16.03,16.13,10400
"2016-11-18",15.81,16,15.74,15.94,12789
"2016-11-21",16.65,16.81,16.55,16.77,22218
"2016-11-22",17.92,18.09,17.87,18.09,24079
"2016-11-23",17.57,17.68,17.35,17.42,20558
"2016-11-24",17.59,17.6,17.42,17.44,6121
"2016-11-25",17.45,17.47,17.1,17.16,14954
"2016-11-28",15.6,16.25,15.6,15.98,40361
"2016-11-29",16.51,16.61,16.41,16.5,22711
"2016-11-30",15.67,15.75,15.6,15.71,41908
"2016-12-01",17.8,18.65,17.8,18.62,86462
"2016-12-02",19.46,19.5,19.08,19.1,29294
"2016-12-05",19.59,19.71,19.46,19.67,18438
"2016-12-06",19.64,19.7,19.59,19.62,7717
"2016-12-07",19.39,19.4,18.93,19.06,11847
